spkid,full_name,name,diameter,albedo,e,a,i,per,per_y,moid,moid_ld,sigma_e,sigma_a,sigma_q
3536669,       (2010 OC),,0.344,0.342,0.6333,2.883,12.74,1.79E+03,4.9,0.0797,31,4.50E-08,8.50E-08,1.20E-07
20003752,  3752 Camillo (1985 PA),Camillo,2.306,0.21,0.3016,1.414,55.56,614,1.68,0.0799,31.1,3.80E-10,1.20E-10,5.20E-10
20000887,   887 Alinda (A918 AA),Alinda,4.2,0.31,0.5711,2.473,9.4,1.42E+03,3.89,0.0805,31.3,7.90E-10,1.10E-09,1.90E-09
20388838,388838 (2008 EZ5),,0.378,0.196,0.5075,2.091,8,1.10E+03,3.02,0.0808,31.5,1.10E-08,2.50E-09,2.30E-08
3536591,       (2010 NG1),,0.229,0.142,0.3326,0.8494,24.74,286,0.783,0.0811,31.6,2.20E-07,4.60E-09,1.90E-07
20086666, 86666 (2000 FL10),,1.165,0.228,0.4271,1.463,29.01,646,1.77,0.0815,31.7,1.10E-09,1.90E-09,1.40E-09
3799760,       (2018 DX3),,0.289,0.176,0.4974,2.108,7.65,1.12E+03,3.06,0.0827,32.2,5.20E-08,2.50E-08,1.10E-07
20162385,162385 (2000 BM19),,0.812,0.115,0.3586,0.7407,6.88,233,0.637,0.0828,32.2,8.30E-08,1.20E-09,6.20E-08
20007888,  7888 (1993 UC),,2.298,0.257,0.6631,2.438,26.07,1.39E+03,3.81,0.0843,32.8,1.40E-09,6.10E-10,3.50E-09
20415711,415711 (1998 WT7),,0.346,0.371,0.11,1.152,40.7,452,1.24,0.0854,33.2,6.20E-08,1.50E-09,7.20E-08
20511777,511777 (2015 EZ),,0.194,0.358,0.2838,1.364,13.21,582,1.59,0.0866,33.7,1.30E-08,1.10E-09,1.80E-08
3514956,       (2010 GT6),,0.116,0.3,0.5919,1.495,10.07,668,1.83,0.0868,33.8,1.20E-06,8.70E-09,1.80E-06
20345722,345722 (2007 BG29),,0.653,0.258,0.3347,0.8327,18.51,278,0.76,0.0872,33.9,7.70E-09,4.50E-10,6.60E-09
20162058,162058 (1997 AE12),,0.847,0.186,0.5543,2.367,4.85,1.33E+03,3.64,0.0878,34.2,2.20E-08,5.10E-09,5.30E-08
20250458,250458 (2004 BO41),,0.63,0.282,0.4929,1.019,35.55,375,1.03,0.089,34.6,2.70E-08,3.20E-09,2.70E-08
20020826, 20826 (2000 UV13),,3.687,0.123,0.6362,2.418,31.92,1.37E+03,3.76,0.0896,34.9,3.90E-10,5.90E-10,9.40E-10
20137924,137924 (2000 BD19),,0.97,0.247,0.8949,0.8764,25.74,300,0.821,0.0899,35,5.10E-09,1.20E-09,4.60E-09
20152964,152964 (2000 GP82),,0.788,0.342,0.3934,1.397,13.23,603,1.65,0.0902,35.1,7.50E-09,1.60E-09,1.10E-08
20153195,153195 (2000 WB1),,1.327,0.1,0.619,1.301,41.11,542,1.48,0.0909,35.4,5.10E-08,5.20E-09,6.70E-08
3517109,       (2010 HC),,0.128,0.328,0.5224,2.127,6.87,1.13E+03,3.1,0.0909,35.4,8.00E-06,3.50E-05,2.90E-07
3738912,       (2015 YB1),,0.186,0.128,0.4106,1.539,28.62,697,1.91,0.0914,35.6,9.60E-08,4.50E-08,1.70E-07
3541502,       (2010 OC101),,0.148,0.384,0.2275,1.222,13.6,493,1.35,0.0921,35.8,3.30E-08,4.20E-09,4.00E-08
3758841,       (2016 QC84),,0.25,0.257,0.4027,1.506,16.63,675,1.85,0.0925,36,1.20E-07,2.60E-07,3.90E-08
3735657,       (2015 XK1),,0.35,0.145,0.5346,1.635,6.46,764,2.09,0.093,36.2,3.90E-08,2.00E-08,5.80E-08
20534676,534676 (2014 VK2),,0.691,0.123,0.6036,1.838,16.39,910,2.49,0.0937,36.5,6.60E-08,4.10E-09,1.20E-07
20100756,100756 (1998 FM5),,1.809,0.163,0.5546,2.264,11.58,1.24E+03,3.41,0.0946,36.8,1.80E-09,1.50E-09,4.00E-09
3514891,       (2010 GB6),,0.134,0.142,0.2449,0.8821,35.31,303,0.828,0.096,37.4,5.10E-07,1.40E-08,4.60E-07
3092259,       (2000 GW127),,0.477,0.135,0.7271,2.247,6.65,1.23E+03,3.37,0.0965,37.6,7.80E-08,1.80E-08,1.80E-07
3508161,       (2010 CP140),,0.556,0.11,0.5384,1.9,14.47,957,2.62,0.0968,37.7,6.50E-08,1.40E-08,1.30E-07
3515379,       (2010 GK23),,0.277,0.303,0.6828,2.749,35,1.66E+03,4.56,0.0969,37.7,4.70E-02,4.00E-01,7.70E-04
3523340,       (2010 KA8),,0.183,0.147,0.4338,1.62,10.12,753,2.06,0.097,37.8,3.80E-05,1.00E-04,7.90E-06
3514957,       (2010 GU6),,0.252,0.147,0.6796,2.69,10.29,1.61E+03,4.41,0.0973,37.9,2.30E-04,2.30E-03,1.40E-04
20200754,200754 (2001 WA25),,0.553,0.21,0.5169,1.756,15.51,850,2.33,0.0976,38,2.00E-08,1.60E-09,3.60E-08
20220124,220124 (2002 TE66),,0.609,0.208,0.3778,1.457,51.34,642,1.76,0.0978,38.1,2.60E-08,1.70E-09,3.80E-08
20004197,  4197 Morpheus (1982 TA),Morpheus,1.8,0.37,0.7724,2.295,12.6,1.27E+03,3.48,0.0985,38.3,2.10E-08,2.10E-09,4.90E-08
20381677,381677 (2009 BJ81),,0.472,0.346,0.4558,1.851,5.84,920,2.52,0.0988,38.4,7.00E-09,1.50E-09,1.30E-08
20345646,345646 (2006 TN),,0.413,0.117,0.345,1.562,17.28,713,1.95,0.0997,38.8,4.80E-08,1.20E-08,7.10E-08
20008201,  8201 (1994 AH2),,1.859,0.154,0.7061,2.539,9.54,1.48E+03,4.05,0.1,39,2.70E-08,5.00E-09,7.00E-08
20443837,443837 (2000 TJ1),,0.253,0.399,0.0809,1.161,39.54,457,1.25,0.101,39.3,1.70E-07,1.00E-09,2.00E-07
3535790,       (2010 NA),,0.32,0.109,0.6543,1.723,6.39,826,2.26,0.101,39.2,5.10E-08,8.00E-09,8.60E-08
20274138,274138 (2008 FU6),,0.747,0.24,0.569,1.324,12.83,556,1.52,0.102,39.6,4.20E-08,3.20E-09,5.40E-08
20023606, 23606 (1996 AS1),,0.866,0.123,0.3611,1.75,14.36,846,2.32,0.103,40.1,2.90E-08,6.40E-09,5.00E-08
3748364,       (2016 FE12),,0.202,0.248,0.6974,1.276,29.83,526,1.44,0.103,40.2,1.10E-06,2.80E-07,1.40E-06
20001866,  1866 Sisyphus (1972 XA),Sisyphus,8.48,0.15,0.538,1.894,41.21,952,2.61,0.104,40.5,1.20E-09,4.60E-10,2.30E-09
20322763,322763 (2001 FA7),,1.252,0.196,0.536,2.007,22.83,1.04E+03,2.84,0.104,40.4,4.60E-08,1.20E-08,9.20E-08
3536621,       (2010 NB2),,0.21,0.303,0.761,2.085,28.69,1.10E+03,3.01,0.104,40.4,3.20E-06,5.80E-08,6.70E-06
20014402, 14402 (1991 DB),,0.6,0.14,0.4016,1.715,11.41,820,2.25,0.105,40.7,2.60E-08,9.30E-10,4.40E-08
20142563,142563 (2002 TR69),,0.86,0.378,0.3436,1.66,20.49,781,2.14,0.105,40.8,7.40E-09,1.80E-09,1.10E-08
20003360,  3360 Syrinx (1981 VA),Syrinx,1.8,0.17,0.7457,2.468,21.14,1.42E+03,3.88,0.106,41.2,6.70E-10,1.30E-09,1.60E-09
20218017,218017 (2001 XV266),,0.451,0.115,0.1927,1.196,12,478,1.31,0.106,41.1,4.20E-08,1.80E-09,5.00E-08
20247517,247517 (2002 QY6),,0.269,0.357,0.699,0.8171,12.75,270,0.739,0.106,41.2,5.30E-08,3.40E-09,4.40E-08
3670100,       (2014 HF177),,0.253,0.364,0.5492,2.279,7.21,1.26E+03,3.44,0.106,41.2,1.90E-08,1.80E-08,3.80E-08
3740048,       (2016 AO165),,0.374,0.138,0.7065,3.219,8.98,2.11E+03,5.78,0.106,41.1,5.60E-06,5.80E-05,9.50E-07
20003288,  3288 Seleucus (1982 DV),Seleucus,2.8,0.22,0.4549,2.035,5.93,1.06E+03,2.9,0.108,41.8,1.40E-09,1.40E-09,2.80E-09
20087311, 87311 (2000 QJ1),,1.948,0.142,0.5121,1.59,7.7,732,2.01,0.108,42,2.50E-09,9.00E-10,3.90E-09
20368184,368184 (2000 RN77),,0.381,0.193,0.3181,0.9512,16.1,339,0.928,0.108,42,2.00E-07,6.10E-09,1.90E-07
20418929,418929 (2009 DM1),,1.432,0.137,0.641,2.893,15.21,1.80E+03,4.92,0.108,42,1.20E-08,6.80E-09,3.50E-08
20004688,  4688 (1980 WF),,0.6,0.18,0.5179,2.232,6.38,1.22E+03,3.34,0.109,42.2,4.00E-08,6.50E-09,9.00E-08
20138013,138013 (2000 CN101),,3.518,0.172,0.6348,1.598,15.98,738,2.02,0.109,42.3,1.10E-08,1.40E-09,1.80E-08
