spkid,full_name,name,diameter,albedo,e,a,i,per,per_y,moid,moid_ld,sigma_e,sigma_a,sigma_q
20138847,138847 (2000 VE62),,0.965,0.396,0.2879,1.619,22.18,752,2.06,0.158,61.6,7.50E-10,3.00E-10,1.40E-09
20388189,388189 (2006 DS14),,0.315,0.123,0.3365,0.8638,26.54,293,0.803,0.158,61.3,3.30E-07,3.90E-09,2.80E-07
3591756,       (2011 YB40),,0.424,0.225,0.5936,2.555,32.73,1.49E+03,4.08,0.159,62,1.10E-07,5.60E-08,2.90E-07
20152931,152931 (2000 EA107),,1.646,0.237,0.4557,0.9297,28.58,327,0.897,0.16,62.4,3.70E-09,4.50E-10,3.60E-09
3440286,       (2008 WB59),,0.407,0.203,0.188,1.045,25.65,390,1.07,0.16,62.2,1.00E-07,1.60E-09,1.00E-07
3514959,       (2010 GA7),,0.151,0.256,0.3892,0.9126,30,318,0.872,0.164,63.9,5.40E-07,2.60E-09,4.90E-07
20238456,238456 (2004 RK),,0.328,0.312,0.3004,1.389,18.15,598,1.64,0.165,64,2.20E-08,1.40E-09,3.00E-08
20442605,442605 (2012 HY33),,0.44,0.209,0.5435,1.998,14.7,1.03E+03,2.82,0.165,64,7.80E-08,3.70E-08,1.60E-07
3655971,       (2014 AN51),,0.222,0.225,0.5571,1.425,9.92,621,1.7,0.165,64.1,4.20E-07,4.10E-08,6.00E-07
20496174,496174 (2011 CQ4),,0.657,0.179,0.5833,2.001,23.74,1.03E+03,2.83,0.166,64.7,7.60E-08,3.20E-08,1.50E-07
3739082,       (2015 YT10),,0.359,0.137,0.7847,2.351,10.9,1.32E+03,3.6,0.167,64.8,8.90E-05,9.80E-04,5.70E-06
20307918,307918 (2004 EU9),,0.374,0.358,0.5053,0.8804,28.58,302,0.826,0.168,65.6,7.70E-08,1.40E-09,6.80E-08
20277616,277616 (2006 BN6),,1.236,0.119,0.6943,2.577,18.75,1.51E+03,4.14,0.173,67.1,4.00E-08,1.90E-08,1.00E-07
20230979,230979 (2005 AT42),,1.522,0.207,0.6136,2.858,11.21,1.76E+03,4.83,0.174,67.7,2.30E-08,2.70E-08,6.50E-08
20411201,411201 (2010 LJ14),,0.658,0.31,0.3417,1.626,12.03,757,2.07,0.174,67.5,2.00E-08,5.70E-09,3.50E-08
20162483,162483 (2000 PJ5),,0.906,0.236,0.3737,0.8727,51.18,298,0.815,0.176,68.6,1.30E-09,4.10E-10,1.40E-09
20139289,139289 (2001 KR1),,1.126,0.127,0.8413,1.26,23.26,516,1.41,0.177,69,3.50E-08,3.70E-09,4.40E-08
20138947,138947 (2001 BA40),,0.447,0.292,0.2538,1.119,12.85,432,1.18,0.18,70,2.60E-08,4.70E-09,3.00E-08
20464885,464885 (2005 LS3),,0.384,0.19,0.2677,1.49,34.9,664,1.82,0.18,69.9,7.90E-08,6.40E-09,1.20E-07
20006178,  6178 (1986 DA),,2.3,0.15,0.5845,2.815,4.31,1.72E+03,4.72,0.182,70.9,1.70E-08,5.90E-09,4.90E-08
3538600,       (2010 OE22),,0.174,0.176,0.6319,2.644,14.26,1.57E+03,4.3,0.182,70.9,7.50E-05,4.40E-04,3.60E-05
3537907,       (2010 OQ1),,0.539,0.153,0.5486,2.145,18.89,1.15E+03,3.14,0.184,71.7,7.10E-08,4.50E-08,1.50E-07
20005836,  5836 (1993 MF),,2.754,0.156,0.5365,2.441,7.94,1.39E+03,3.81,0.185,71.9,1.70E-09,1.30E-09,4.10E-09
20001863,  1863 Antinous (1948 EA),Antinous,2.1,0.24,0.6063,2.261,18.35,1.24E+03,3.4,0.187,72.6,8.20E-10,1.10E-09,1.90E-09
20039796, 39796 (1997 TD),,2.131,0.205,0.4677,2.251,12.91,1.23E+03,3.38,0.19,74,1.50E-09,1.50E-09,3.90E-09
3541503,       (2010 OD101),,0.198,0.217,0.3582,1.619,15.39,752,2.06,0.19,73.8,5.50E-08,3.20E-08,1.00E-07
20363814,363814 (2005 ND7),,1.105,0.1,0.4824,1.964,52.57,1.01E+03,2.75,0.191,74.2,3.10E-08,3.30E-09,6.10E-08
3515658,       (2010 GO33),,0.313,0.377,0.6981,2.409,19.12,1.37E+03,3.74,0.193,75.1,2.30E-07,4.10E-08,5.40E-07
20004954,  4954 Eric (1990 SQ),Eric,10.8,0.176,0.4494,2.001,17.43,1.03E+03,2.83,0.194,75.6,6.10E-10,5.80E-10,1.20E-09
3337834,       (2006 OG15),,0.365,0.159,0.6306,2.541,17.13,1.48E+03,4.05,0.194,75.4,5.80E-08,2.20E-08,1.40E-07
20088710, 88710 (2001 SL9),,0.76,0.281,0.2701,1.061,21.9,399,1.09,0.196,76.1,3.60E-09,5.00E-10,3.70E-09
20237551,237551 (2000 WQ19),,0.63,0.234,0.347,1.406,34.27,609,1.67,0.196,76.1,7.20E-08,3.40E-09,1.00E-07
20337119,337119 (1999 TK12),,0.521,0.235,0.3928,1.683,24.49,797,2.18,0.197,76.5,3.20E-08,3.20E-09,5.40E-08
20537829,537829 (2015 XY378),,0.312,0.214,0.4893,0.7102,13.92,219,0.598,0.197,76.6,2.90E-07,6.20E-09,2.10E-07
20349925,349925 (2009 WC26),,0.92,0.229,0.6973,2.171,12.02,1.17E+03,3.2,0.198,77.1,4.30E-08,9.30E-09,9.50E-08
3481977,       (2009 XD),,0.615,0.154,0.6733,2.451,31.45,1.40E+03,3.84,0.2,77.9,9.00E-08,6.20E-08,2.20E-07
20086829, 86829 (2000 GR146),,1.823,0.232,0.575,1.463,14.37,646,1.77,0.203,79,1.10E-09,8.10E-10,1.50E-09
20011398, 11398 (1998 YP11),,1.316,0.318,0.3895,1.721,15.02,824,2.26,0.204,79.2,4.80E-10,1.50E-09,1.10E-09
20277039,277039 (2005 CF41),,0.676,0.156,0.5859,1.649,15.87,773,2.12,0.206,80.3,7.30E-08,1.20E-08,1.20E-07
20482111,482111 (2010 NT1),,0.383,0.209,0.2182,1.458,39.52,643,1.76,0.207,80.7,1.20E-07,9.40E-09,1.80E-07
20505667,505667 (2014 UV33),,0.82,0.182,0.4138,2.016,8.86,1.05E+03,2.86,0.208,81,3.80E-08,1.50E-08,6.90E-08
20232382,232382 (2003 BT47),,1.123,0.154,0.4935,2.335,7.45,1.30E+03,3.57,0.209,81.4,2.90E-08,8.70E-09,6.80E-08
20153842,153842 (2001 XT30),,1.759,0.193,0.5668,2.751,9,1.67E+03,4.56,0.21,81.6,1.70E-08,9.70E-09,4.80E-08
20005646,  5646 (1990 TR),,4.3,0.223,0.4357,2.144,7.91,1.15E+03,3.14,0.212,82.6,1.70E-09,6.50E-10,3.60E-09
20438107,438107 (2005 GY110),,0.663,0.191,0.6864,1.849,12.65,918,2.51,0.214,83.2,1.10E-07,2.00E-08,2.10E-07
3522125,       (2010 JG87),,0.408,0.202,0.9466,2.77,16.76,1.68E+03,4.61,0.215,83.8,6.30E-08,3.70E-08,1.70E-07
20285339,285339 (1999 JR6),,0.614,0.268,0.6755,1.367,20.32,583,1.6,0.221,86.2,1.20E-07,6.00E-09,1.60E-07
20006053,  6053 (1993 BW3),,3.72,0.14,0.5287,2.147,21.58,1.15E+03,3.15,0.222,86.4,4.50E-10,8.20E-10,8.30E-10
3522126,       (2010 JH87),,0.428,0.127,0.5402,1.537,43.76,696,1.91,0.222,86.4,1.00E-07,9.70E-08,1.60E-07
20488494,488494 (2000 JA3),,0.766,0.1,0.4569,2.253,10.19,1.24E+03,3.38,0.223,86.9,5.70E-08,5.60E-09,1.30E-07
20498066,498066 (2007 RM133),,0.589,0.268,0.4398,2.212,10.75,1.20E+03,3.29,0.224,87.1,3.60E-08,1.40E-08,8.30E-08
20613939,613939 (2008 CH116),,0.322,0.355,0.5875,0.6628,20.37,197,0.54,0.224,87.2,2.00E-07,3.30E-09,1.30E-07
3520694,       (2010 JA35),,0.309,0.107,0.5763,2.159,29.02,1.16E+03,3.17,0.224,87.3,8.70E-08,3.20E-07,1.10E-07
20241662,241662 (2000 KO44),,0.898,0.2,0.3885,1.83,28.62,904,2.48,0.225,87.7,3.30E-09,3.90E-09,5.30E-09
20458135,458135 (2010 GE25),,0.304,0.23,0.4677,2.067,21.61,1.09E+03,2.97,0.225,87.6,2.30E-07,1.10E-08,4.70E-07
20007088,  7088 Ishtar (1992 AA),Ishtar,1.298,0.26,0.3903,1.981,8.3,1.02E+03,2.79,0.226,87.8,3.10E-09,1.30E-09,5.40E-09
20184990,184990 (2006 KE89),,2.039,0.117,0.7991,1.053,45.12,395,1.08,0.228,88.8,5.70E-09,8.50E-10,6.10E-09
20464797,464797 (2004 FZ1),,0.726,0.16,0.5309,1.794,52.62,877,2.4,0.228,88.9,4.60E-08,2.80E-09,8.30E-08
20019764, 19764 (2000 NF5),,1.572,0.342,0.4428,2.235,1.33,1.22E+03,3.34,0.23,89.3,2.50E-08,3.30E-09,5.70E-08
20002368,  2368 Beltrovata (1977 RA),Beltrovata,2.3,0.27,0.4135,2.105,5.22,1.12E+03,3.05,0.232,90.5,2.60E-09,1.20E-09,5.60E-09
20455192,455192 (2000 QN130),,1.082,0.121,0.5767,2.882,2.68,1.79E+03,4.89,0.233,90.7,6.00E-08,3.40E-08,1.80E-07
20242187,242187 (2003 KR18),,0.605,0.334,0.48,2.346,5.58,1.31E+03,3.59,0.235,91.5,3.80E-08,3.30E-09,8.80E-08
20088188, 88188 (2000 XH44),,1.371,0.374,0.391,2.008,11.34,1.04E+03,2.85,0.236,91.8,2.40E-09,6.60E-10,4.80E-09
20243147,243147 (2007 TX18),,0.912,0.28,0.4155,2.137,7.36,1.14E+03,3.12,0.236,92,5.30E-08,1.90E-08,1.20E-07
20004055,  4055 Magellan (1985 DO2),Magellan,2.49,0.31,0.3261,1.82,23.25,897,2.46,0.24,93.3,6.60E-10,7.30E-10,1.10E-09
20005751,  5751 Zao (1992 AC),Zao,2.3,0.36,0.4254,2.101,16.07,1.11E+03,3.05,0.241,94,2.80E-09,7.90E-10,6.10E-09
3693516,       (2014 US),,0.556,0.186,0.5889,2.619,27.04,1.55E+03,4.24,0.242,94.1,4.60E-08,9.40E-08,1.20E-07
20001980,  1980 Tezcatlipoca (1950 LA),Tezcatlipoca,4.3,0.25,0.3647,1.71,26.87,817,2.24,0.245,95.5,6.20E-10,3.70E-10,1.20E-09
20159454,159454 (2000 DJ8),,0.577,0.367,0.2528,1.411,37.75,612,1.68,0.247,96.2,2.90E-08,2.90E-09,4.20E-08
20219071,219071 (1997 US9),,0.657,0.383,0.2821,1.053,20.02,395,1.08,0.247,96.2,1.90E-08,6.70E-10,2.00E-08
20066251, 66251 (1999 GJ2),,1.222,0.187,0.1979,1.536,11.28,695,1.9,0.248,96.5,5.70E-09,6.40E-10,8.80E-09
20235086,235086 (2003 HW11),,1.024,0.168,0.4659,2.352,7.4,1.32E+03,3.61,0.249,96.7,2.10E-08,6.20E-09,5.00E-08
20250614,250614 (2005 GG),,1.617,0.269,0.6595,2.042,34.84,1.07E+03,2.92,0.249,97.1,2.60E-09,3.10E-10,5.30E-09
3545179,       (2010 PY75),,0.758,0.102,0.776,2.657,31.55,1.58E+03,4.33,0.25,97.4,5.20E-08,3.30E-08,1.40E-07
20277617,277617 (2006 BT7),,0.666,0.19,0.6333,1.522,16.17,686,1.88,0.253,98.3,7.30E-08,4.50E-09,1.10E-07
20262623,262623 (2006 WY2),,0.761,0.122,0.3329,0.9833,27.55,356,0.975,0.255,99.1,8.10E-09,7.80E-10,8.30E-09
20437994,437994 (2003 UL12),,1.078,0.2,0.7032,3.28,19.81,2.17E+03,5.94,0.256,99.7,5.40E-08,1.50E-08,1.80E-07
20040263, 40263 (1999 FQ5),,0.954,0.177,0.1611,1.495,25.84,668,1.83,0.257,100,6.90E-09,1.50E-09,9.60E-09
20212359,212359 (2006 EV52),,1.261,0.232,0.7073,2.016,15.95,1.05E+03,2.86,0.257,99.8,8.30E-10,9.00E-10,1.90E-09
3508162,       (2010 DM21),,0.303,0.133,0.6575,2.861,21.16,1.77E+03,4.84,0.257,100,4.50E-08,3.40E-08,1.30E-07
3753800,       (2016 LE9),,0.681,0.289,0.7576,2.137,15.33,1.14E+03,3.12,0.259,101,3.70E-08,1.60E-08,7.60E-08
3092337,       (2001 SJ262),,0.34,0.177,0.5745,2.949,10.8,1.85E+03,5.06,0.261,102,1.20E-07,2.20E-07,4.20E-07
3715384,       (2015 FU332),,0.944,0.261,0.7425,2.64,35.88,1.57E+03,4.29,0.261,101,2.90E-07,1.80E-07,7.80E-07
20154589,154589 (2003 MX2),,1.109,0.395,0.4587,2.29,7.18,1.27E+03,3.47,0.264,103,2.50E-08,5.20E-09,5.70E-08
20163694,163694 (2003 DP13),,0.832,0.276,0.5435,2.641,9.82,1.57E+03,4.29,0.264,103,3.10E-08,1.10E-08,7.80E-08
3664084,       (2014 EZ48),,0.453,0.26,0.5642,2.255,25.51,1.24E+03,3.39,0.265,103,2.10E-08,1.60E-08,4.70E-08
3725759,       (2015 PM57),,0.585,0.187,0.7342,2.206,17.38,1.20E+03,3.28,0.267,104,6.90E-08,7.10E-08,1.30E-07
20006050,  6050 Miwablock (1992 AE),Miwablock,2.884,0.257,0.4372,2.202,6.41,1.19E+03,3.27,0.268,104,7.70E-10,7.50E-10,2.00E-09
20001864,  1864 Daedalus (1971 FA),Daedalus,3.7,0.273,0.6143,1.461,22.21,645,1.77,0.27,105,4.80E-10,3.70E-10,7.40E-10
3743742,       (2016 CQ195),,0.606,0.252,0.7062,2.165,28.41,1.16E+03,3.19,0.271,106,2.20E-07,1.20E-07,4.60E-07
20068063, 68063 (2000 YJ66),,2.301,0.211,0.4576,2.334,5.72,1.30E+03,3.57,0.274,107,2.20E-08,6.50E-09,5.20E-08
20025916, 25916 (2001 CP44),,5.683,0.177,0.4991,2.559,15.76,1.49E+03,4.09,0.277,108,1.20E-09,3.60E-10,3.10E-09
20433992,433992 (2000 HD74),,0.827,0.144,0.598,2.918,49.25,1.82E+03,4.99,0.277,108,1.20E-07,1.10E-08,3.60E-07
20152952,152952 (2000 GC2),,0.776,0.353,0.187,1.383,55.29,594,1.63,0.28,109,2.00E-09,6.10E-10,3.10E-09
20159686,159686 (2002 LB6),,1.845,0.162,0.6882,1.804,24.73,885,2.42,0.283,110,2.00E-09,6.70E-10,3.70E-09
20436325,436325 (2010 GR7),,0.452,0.378,0.8456,1.831,24.13,905,2.48,0.283,110,3.00E-08,6.40E-09,5.40E-08
20005653,  5653 Camarillo (1992 WD5),Camarillo,1.537,0.271,0.3042,1.794,6.87,878,2.4,0.284,111,2.70E-09,1.20E-09,5.30E-09
20009400,  9400 (1994 TW1),,3.698,0.155,0.5809,2.587,36,1.52E+03,4.16,0.284,111,6.00E-10,5.20E-10,1.70E-09
20006455,  6455 (1992 HE),,4.626,0.227,0.5728,2.24,37.34,1.22E+03,3.35,0.29,113,1.00E-09,1.00E-09,1.90E-09
20053430, 53430 (1999 TY16),,1.233,0.266,0.4035,2.099,60.41,1.11E+03,3.04,0.291,113,5.20E-08,5.20E-09,1.10E-07
3541750,       (2010 OL101),,0.195,0.321,0.5983,2.61,26.08,1.54E+03,4.22,0.294,114,7.10E-06,5.90E-05,5.00E-06
3555069,       (2010 XY82),,0.453,0.18,0.4897,2.187,26.78,1.18E+03,3.24,0.294,114,4.30E-08,4.80E-09,9.30E-08
20523595,523595 (2002 OS4),,0.658,0.195,0.4539,1.923,26.81,974,2.67,0.298,116,2.80E-08,2.30E-09,5.40E-08
20190119,190119 (2004 VA64),,1.451,0.121,0.8903,2.469,29.86,1.42E+03,3.88,0.299,116,5.10E-08,1.70E-08,1.30E-07
3516632,       (2010 GR75),,0.277,0.334,0.6362,1.727,17.79,829,2.27,0.299,116,7.30E-08,5.90E-09,1.30E-07
3703262,       (2014 YR43),,0.37,0.204,0.6114,2.486,26.45,1.43E+03,3.92,0.299,116,2.20E-08,2.20E-08,5.30E-08
20242147,242147 (2003 BH84),,1.687,0.108,0.7196,1.959,23.34,1.00E+03,2.74,0.302,118,4.40E-08,5.70E-09,8.70E-08
20068350, 68350 (2001 MK3),,1.794,0.219,0.2474,1.67,29.57,788,2.16,0.304,118,2.90E-09,9.00E-10,4.20E-09
20021088, 21088 Chelyabinsk (1992 BL2),Chelyabinsk,2.793,0.206,0.2384,1.706,38.45,814,2.23,0.309,120,7.20E-10,4.30E-10,1.10E-09
20152558,152558 (1990 SA),,1.4,0.146,0.4415,2.014,38.14,1.04E+03,2.86,0.309,120,5.00E-08,6.10E-09,1.00E-07
20416071,416071 (2002 NV),,0.803,0.189,0.6169,2.667,22.27,1.59E+03,4.36,0.309,120,2.80E-08,1.20E-08,7.70E-08
20005587,  5587 (1990 SB),,3.57,0.32,0.5441,2.4,18.07,1.36E+03,3.72,0.31,121,7.50E-10,1.00E-09,1.90E-09
20142781,142781 (2002 UM11),,1.595,0.252,0.3879,1.951,41.03,995,2.73,0.311,121,1.20E-09,1.00E-09,2.40E-09
20401925,401925 (2002 AT15),,0.475,0.342,0.4752,1.894,36.38,952,2.61,0.312,121,8.50E-08,7.00E-09,1.60E-07
20436324,436324 (2010 GZ6),,0.369,0.205,0.1441,1.401,44.84,606,1.66,0.312,121,1.00E-07,4.10E-09,1.50E-07
20243025,243025 (2006 UM216),,2.123,0.139,0.524,2.674,15.89,1.60E+03,4.37,0.313,122,4.50E-08,1.60E-08,1.20E-07
20152889,152889 (2000 CF59),,1.022,0.388,0.6409,1.679,41.55,795,2.18,0.315,123,3.10E-08,3.20E-09,5.20E-08
20306462,306462 (1999 RC32),,0.476,0.379,0.4319,1.838,30.96,910,2.49,0.317,124,6.50E-08,2.60E-09,1.20E-07
20429746,429746 (2011 SA16),,1.275,0.131,0.5328,2.733,20.12,1.65E+03,4.52,0.328,128,5.40E-08,1.60E-08,1.50E-07
3508106,       (2010 CH18),,0.394,0.286,0.5719,2.604,27.17,1.53E+03,4.2,0.328,128,1.10E-07,4.50E-07,2.90E-07
20020460, 20460 Robwhiteley (1999 LO28),Robwhiteley,2.716,0.199,0.4116,1.877,33.95,939,2.57,0.331,129,7.90E-10,1.10E-09,1.30E-09
20514652,514652 (2005 SC71),,0.741,0.154,0.3825,1.91,32.38,964,2.64,0.332,129,4.40E-08,8.30E-09,8.50E-08
3508164,       (2010 DK34),,0.283,0.152,0.7653,2.779,27.41,1.69E+03,4.63,0.332,129,4.40E-03,5.30E-02,1.60E-04
20004401,  4401 Aditi (1985 TB),Aditi,1.801,0.343,0.5633,2.584,26.63,1.52E+03,4.15,0.335,130,3.10E-09,1.40E-09,8.50E-09
20333889,333889 (1998 SV4),,0.919,0.11,0.642,0.8165,53.3,269,0.738,0.336,131,3.70E-09,1.50E-09,3.00E-09
20055532, 55532 (2001 WG2),,1.306,0.376,0.6957,1.794,38.55,878,2.4,0.339,132,1.60E-09,8.50E-10,2.90E-09
20413038,413038 (2001 MF1),,1.237,0.301,0.5773,2.648,23.98,1.57E+03,4.31,0.341,133,4.30E-08,7.80E-09,1.10E-07
20215757,215757 (2004 FU64),,0.78,0.241,0.3669,1.838,24.88,910,2.49,0.342,133,5.10E-08,5.20E-09,9.30E-08
20086324, 86324 (1999 WA2),,2.102,0.191,0.4346,1.967,34.6,1.01E+03,2.76,0.343,133,5.10E-10,7.50E-10,9.70E-10
20001036,  1036 Ganymed (A924 UB),Ganymed,37.675,0.238,0.5328,2.665,26.69,1.59E+03,4.35,0.345,134,1.20E-09,1.30E-09,3.30E-09
3467188,       (2009 SP),,0.485,0.119,0.495,2.22,25.26,1.21E+03,3.31,0.347,135,6.50E-08,1.00E-08,1.40E-07
20105140,105140 (2000 NL10),,1.946,0.223,0.8169,0.9143,32.54,319,0.874,0.355,138,8.30E-09,6.60E-10,7.60E-09
20054401, 54401 (2000 LM),,1.189,0.181,0.2624,1.711,18.95,817,2.24,0.356,138,3.90E-09,1.40E-09,6.10E-09
20238063,238063 (2003 EG),,1.47,0.225,0.7136,1.738,31.79,837,2.29,0.363,141,4.60E-08,6.40E-09,7.90E-08
3486329,       (2010 BH2),,0.363,0.213,0.4611,2.353,24.58,1.32E+03,3.61,0.364,141,1.50E-07,4.10E-08,3.20E-07
20086067, 86067 (1999 RM28),,1.245,0.314,0.3236,1.817,30.55,895,2.45,0.365,142,8.10E-10,5.70E-10,1.60E-09
20468117,468117 (2014 ED),,0.493,0.139,0.6382,1.547,21.77,703,1.92,0.365,142,7.30E-08,2.70E-08,1.20E-07
20311321,311321 (2005 NP1),,0.583,0.172,0.2964,1.827,34.71,902,2.47,0.371,144,7.80E-08,9.90E-09,1.40E-07
20009202,  9202 (1993 PB),,1.617,0.332,0.6078,1.424,40.8,621,1.7,0.372,145,9.20E-10,5.20E-10,1.40E-09
20085804, 85804 (1998 WQ5),,2.272,0.167,0.3543,1.721,27.66,825,2.26,0.373,145,8.80E-10,4.50E-10,1.40E-09
3518595,       (2010 HD33),,0.563,0.267,0.5151,2.619,24.42,1.55E+03,4.24,0.374,145,1.10E-07,2.90E-08,2.90E-07
20010165, 10165 (1995 BL2),,0.829,0.372,0.5037,1.235,23.9,501,1.37,0.376,146,3.50E-09,5.40E-10,4.40E-09
20068348, 68348 (2001 LO7),,3.512,0.299,0.841,2.155,25.37,1.16E+03,3.16,0.385,150,9.40E-10,1.20E-09,2.10E-09
20137099,137099 (1998 YW3),,0.564,0.291,0.4627,1.1,28.79,421,1.15,0.388,151,6.40E-08,2.90E-09,7.10E-08
20137925,137925 (2000 BJ19),,1.372,0.373,0.7637,1.292,31.11,536,1.47,0.39,152,5.60E-09,8.40E-10,7.30E-09
20386720,386720 (2009 XC2),,0.964,0.244,0.5824,2.646,25.78,1.57E+03,4.3,0.395,154,4.40E-08,1.40E-08,1.20E-07
20363626,363626 (2004 RA11),,0.633,0.135,0.3995,1.824,39.36,900,2.46,0.396,154,1.10E-07,1.70E-08,1.90E-07
20005828,  5828 (1991 AM),,1.457,0.331,0.6949,1.698,30.12,808,2.21,0.398,155,1.60E-09,9.40E-10,2.70E-09
20137084,137084 (1998 XS16),,1.228,0.322,0.4967,1.212,26.56,487,1.33,0.405,158,1.50E-09,1.70E-10,1.80E-09
20371336,371336 (2006 KD1),,1.137,0.18,0.7849,2.48,30.79,1.43E+03,3.91,0.413,161,6.10E-08,1.90E-08,1.50E-07
20185716,185716 (1998 SF35),,0.629,0.339,0.2739,1.685,35.19,799,2.19,0.414,161,4.20E-08,4.70E-09,7.00E-08
20241596,241596 (1998 XM2),,1.548,0.105,0.3402,1.805,27.1,886,2.43,0.414,161,2.10E-09,3.30E-09,2.20E-09
20428223,428223 (2006 WW),,2.525,0.101,0.8679,2.682,32.72,1.60E+03,4.39,0.415,161,4.00E-08,1.90E-08,1.10E-07
20004957,  4957 Brucemurray (1990 XJ),Brucemurray,3.499,0.132,0.2189,1.565,35.01,715,1.96,0.425,165,2.20E-09,2.10E-10,3.50E-09
20154035,154035 (2002 CV59),,1.098,0.149,0.532,1.21,49.06,486,1.33,0.426,166,6.00E-09,1.40E-09,7.80E-09
20535148,535148 (2014 XR6),,0.861,0.114,0.5321,2.588,27.14,1.52E+03,4.16,0.429,167,3.90E-08,2.70E-08,1.10E-07
20474425,474425 (2002 YF4),,0.358,0.368,0.3337,1.755,33.68,849,2.32,0.432,168,4.80E-08,3.80E-09,8.30E-08
20054686, 54686 (2001 DU8),,1.349,0.244,0.3419,1.777,33.21,865,2.37,0.433,169,1.90E-09,5.50E-10,3.00E-09
20230118,230118 (2001 DB3),,1.166,0.15,0.5604,2.683,24.5,1.60E+03,4.39,0.44,171,3.30E-08,9.90E-09,8.90E-08
3516307,       (2010 GW62),,0.285,0.378,0.5755,1.27,32.43,523,1.43,0.44,171,1.60E-07,6.10E-09,2.00E-07
20027346, 27346 (2000 DN8),,1.802,0.256,0.399,1.875,36.95,938,2.57,0.444,173,1.70E-09,6.70E-10,3.30E-09
20089355, 89355 (2001 VS78),,2.038,0.246,0.3086,1.787,22.66,872,2.39,0.445,173,2.70E-09,1.10E-09,4.10E-09
20303174,303174 (2004 FH11),,1.504,0.163,0.4461,2.256,21.38,1.24E+03,3.39,0.461,179,2.00E-08,2.50E-09,4.60E-08
20159560,159560 (2001 TO103),,1.156,0.209,0.4342,2.214,25.73,1.20E+03,3.29,0.475,185,4.50E-08,9.30E-09,9.70E-08
20276468,276468 (2003 HQ32),,1.034,0.114,0.3455,1.979,35.88,1.02E+03,2.78,0.481,187,4.70E-08,5.60E-09,9.30E-08
20467372,467372 (2004 LG),,0.874,0.146,0.8967,2.065,71.17,1.08E+03,2.97,0.518,202,9.70E-07,2.00E-08,2.00E-06
20397237,397237 (2006 KZ112),,1.18,0.269,0.887,2.523,37.83,1.46E+03,4.01,0.53,206,3.80E-08,2.00E-08,9.80E-08
20159459,159459 (2000 KB),,1.769,0.187,0.7989,2.337,56.17,1.30E+03,3.57,0.531,207,3.90E-08,1.70E-08,9.10E-08
20248083,248083 (2004 QU24),,2.358,0.126,0.6135,3.328,23.37,2.22E+03,6.07,0.54,210,4.00E-08,1.20E-08,1.40E-07
3516631,       (2010 GQ75),,0.372,0.106,0.8603,2.443,43.3,1.39E+03,3.82,0.616,240,1.30E-04,4.10E-03,2.50E-04
20529718,529718 (2010 KY127),,1.77,0.129,0.8827,2.49,60.79,1.44E+03,3.93,0.708,276,1.10E-07,6.10E-08,2.80E-07
